SR,AuthorID,Affiliation,Country
"SPENCE M, 2006, INT MARKET REV",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"SPENCE M, 2009, QUAL MARK RES",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"SRAHA G, 2020, J BUS IND MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2025, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2019, J RES MARK ENTREP",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2018, QUAL MARK RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2020, J BUS RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"HAMZAH MI, 2023, INT J ENTREP SMALL B",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"MAHDI A, 2024, J RURAL STUD",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"MAHDI A, 2024, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CHAUDHRY SHIV, 2023, INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK D, 2014, EUR BUS REV",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK D, 2016, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK D, 2016, MARK INTELL PLAN",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK D, 2016, QUAL MARK RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK D, 2016, STRATEG CHANG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK D, 2018, QUAL MARK RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2016, STRATEG CHANG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2018, EDUC TRAIN",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2018, INT J WINE BUS RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2018, J RES MARK ENTREP",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2019, J BUS IND MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2020, IND MARKET MANAG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2020, J RURAL STUD",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, EDUC TRAIN",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, IND MARKET MANAG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, INT MARKET REV",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, J BUS IND MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, J BUS RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, J INT MARKETING",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2021, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2022, IND MARKET MANAG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2022, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2022, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2023, IND MARKET MANAG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2023, INT J ENTREP SMALL B",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2023, INT SMALL BUS J",ORCID:0000-0002-2137-6037,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2023, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2024, J RES MARK ENTREP",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"CRICK JM, 2025, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"KARAMI M, 2023, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"LAMINE W, 2025, INT J ENTREP SMALL B",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"SRAHA G, 2020, J BUS IND MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY
"SCHMENGLER K, 2010, INT J ENTREP VENTUR",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"EGGERS F, 2020, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"BELIAEVA T, 2020, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"BOUNCKEN R, 2015, REV MANAG SCI",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"BOUNCKEN RB, 2013, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"BOUNCKEN RB, 2015, REV MANAG SCI",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"BOUNCKEN RB, 2018, BRIT J MANAGE",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"BOUNCKEN RB, 2020, LONG RANGE PLANN",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"CALABRO A, 2019, INT J MANAG REV",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"CESINGER B, 2012, MANAGE DECIS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"COVIN JG, 2016, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"CRAIG JB, 2014, CREAT INNOV MANAG",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"EGGERS F, 2013, J WORLD BUS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"EGGERS F, 2013, MANAGE DECIS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"EGGERS F, 2014, IND MARKET MANAG",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"EGGERS F, 2017, J SMALL BUS MANAGE",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"EGGERS F, 2020, TECHNOL FORECAST SOC",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"FELLNHOFER K, 2014, INTERNATIONAL JOURNAL OF BUSINESS RESEARCH",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"FERREIRA JJM, 2019, REV MANAG SCI",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2012, INT ENTREP MANAG J",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"HILLS GERALD E, 2010, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"HOCK-DOEPGEN M, 2021, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"HUGHES M, 2018, BRIT J MANAGE",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"HUGHES MATHEW, 2015, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KOHTAMAKI M, 2010, INT J ENTREP INNOV",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS S, 2012, J RES MARK ENTREP",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS S, 2012, REV MANAG SCI",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS S, 2018, JOURNAL OF PROMOTION MANAGEMENT",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS S, 2019, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS S, 2020, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS S, 2022, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS S, 2022, INT J INFORM MANAGE",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS S, 2023, TECHNOL FORECAST SOC",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"KRAUS SASCHA, 2010, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"NIEMAND T, 2021, EUR MANAG J",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"PINELLI M, 2022, J SMALL BUS ENTERP D",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"SCHJOEDT L, 2009, MANAGEMENT RESEARCH REVIEW",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"SCHRODER K, 2021, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"SEMRAU T, 2016, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"VALLASTER CHRISTINE, 2011, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"WALES WJ, 2021, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY
"MILES M, 2015, J STRATEG MARK",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"HILLS GE, 2008, J SMALL BUS MANAGE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MORRISH SC, 2010, J STRATEG MARK",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2020, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MP, 2006, EUR J MARKETING",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"JENSON I, 2020, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MP, 2016, J STRATEG MARK",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"FILLIS I, 2017, J VACAT MARK",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"HO KLP, 2022, J INNOV KNOWL",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"ADHIKARI RP, 2018, SMALL ENTERP RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"AHMADI H, 2014, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"BONNEY L, 2013, J DEV ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"COVIN JG, 1999, ENTREPRENEURSHIP THEORY AND PRACTICE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"COVIN JG, 2007, ENTREP THEORY PRACT",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"DARROCH J, 2011, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"DUNG TQ, 2020, SUPPLY CHAIN MANAG",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"DUNG TQ, 2021, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"EDWARDS J, 2023, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2012, INT ENTREP MANAG J",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"GRIMMER L, 2017, J SMALL BUS MANAGE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"HO KLP, 2018, J INNOV KNOWL",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"HO KLP, 2019, J INNOV KNOWL",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"JENSON I, 2016, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"KASOUF CJ, 2009, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"KASOUF CJ, 2015, INT ENTREP MANAG J",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"LEHMAN K, 2014, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MORGANP, 1991, ENTREPRENEURSHIP THEORY AND PRACTICE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MP, 2002, ENTREPRENEURSHIP: THEORY AND PRACTICE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MP, 2003, TECHNOVATION",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MP, 2008, J SMALL BUS MANAGE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MP, 2011, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MP, 2017, EDUC TRAIN",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES MP, 2020, SMALL BUS ECON",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MORRISH S, 2015, SUSTAINABLE GLOBAL M",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"NAKKU VB, 2020, J SMALL BUS MANAGE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"SHEPHERD CD, 2010, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"VITALE R, 2004, JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY
"MILES M, 2015, J STRATEG MARK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2020, J BUS RES",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"WHALEN P, 2016, J STRATEG MARK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"MILES MP, 2016, J STRATEG MARK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"ANONYMOUS, 2000, INT BUSINESS REV",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"CARSON D, 1998, J PRODUCTS BRAND MAN",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"CARSON D, 2000, INT BUS REV",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"CARSON D, 2000, J MARKET THEORY PRAC",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"CARSON D, 2004, STRATEGIC CHANGE",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"DONNELL A, 2001, J MANAGEMENT DECISIO",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GAMBLE J, 2011, THE MARKETING REVIEW",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 1999, J RES MARKETING ENTR",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 1999, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2001, MARKETING INTELLIGEN",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2004, MARKETING INTELLIGEN",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2006, INT BUS REV",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2010, J RES MARK ENTREP",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2011, J RES MARK ENTREP",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2012, INT ENTREP MANAG J",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2013, J RES MARK ENTREP",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"HULBERT B, 2013, INT BUS REV",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"MCCAMLEY C, 2017, TOURISM MANAGE",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"MITCHELL R, 2015, J MARKET MANAG-UK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"O'DONNELL A, 2002, J STRATEG MARK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"O'DONNELL A, 2002, J STRATEGIC MARKETIN",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"O'DWYER M, 2009, EUR J MARKETING",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"O'DWYER M, 2009, J STRATEG MARK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"O'DWYER M, 2011, J STRATEG MARK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"O'DWYER M, 2018, J BUS RES",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"O'DWYER M, 2019, J STRATEG MARK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"ROCKS S, 2005, J STRATEG MARK",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"WALSH S, 2004, INTERNATIONAL JOURNAL OF BANK MARKETING",OA:A5111585970,NO AFFILIATION,NO COUNTRY
"GROSS N, 2014, J RES MARK ENTREP",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"ANONYMOUS, 2000, INT BUSINESS REV",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON D, 1989, JOURNAL OF MARKETING MANAGEMENT",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON D, 1990, EUR J MARKETING",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON D, 1996, MARKETING INTELLIGENCE AND PLANNING",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON D, 1998, J PRODUCTS BRAND MAN",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON D, 2000, INT BUS REV",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON D, 2000, J MARKET THEORY PRAC",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON D, 2004, STRATEGIC CHANGE",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON D, 2010, J RES MARK ENTREP",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON DJ, 1985, EUR J MARKETING",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CARSON DJ, 1993, JOURNAL OF MARKETING MANAGEMENT",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"CRICK D, 2004, QUALITAT MARK RES",OA:A5013163717,NO AFFILIATION,NO COUNTRY
"CUBERES D, 2019, REV DEV ECON",OA:A5081462367,NO AFFILIATION,NO COUNTRY
"DONNELL A, 2001, J MANAGEMENT DECISIO",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"GAUTHIER J, 2021, SOC BUS REV",ORCID:0000-0002-7942-5778,NO AFFILIATION,NO COUNTRY
"GILMORE A, 1999, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2001, MARKETING INTELLIGEN",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2004, MARKETING INTELLIGEN",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"GILMORE A, 2006, INT BUS REV",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"HULBERT B, 2013, INT BUS REV",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"IBEH K, 2019, INT MARKET REV",OA:A5013163717,NO AFFILIATION,NO COUNTRY
"LAMINE W, 2025, INT J ENTREP SMALL B",OA:A5013163717,NO AFFILIATION,NO COUNTRY
"MCCARTAN-QUINN D, 2003, SMALL BUS ECON",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"O'DONNELL A, 2002, J STRATEG MARK",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"O'DONNELL A, 2002, J STRATEGIC MARKETIN",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"O'DWYER M, 2009, EUR J MARKETING",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"O'DWYER M, 2009, J STRATEG MARK",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"O'DWYER M, 2011, J STRATEG MARK",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"ROCKS S, 2005, J STRATEG MARK",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"STEVENSON JR, 2014, EARTHQ SPECTRA",ORCID:0000-0001-5075-0270,NO AFFILIATION,NO COUNTRY
"WALSH S, 2004, INTERNATIONAL JOURNAL OF BANK MARKETING",OA:A5110154513,NO AFFILIATION,NO COUNTRY
"ANDERSON BS, 2009, STRATEG ENTREP J",ORCID:0000-0003-1627-5300,NO AFFILIATION,NO COUNTRY
"COVIN JEFFREY G, 2019, ENTREPRENEURSHIP THEORY AND PRACTICE",ORCID:0000-0003-1627-5300,NO AFFILIATION,NO COUNTRY
"COVIN JG, 1988, J MANAGE STUD",ORCID:0000-0003-1627-5300,NO AFFILIATION,NO COUNTRY
"COVIN JG, 1989, STRATEGIC MANAGE J",ORCID:0000-0003-1627-5300,NO AFFILIATION,NO COUNTRY
"COVIN JG, 1990, ENTREP THEORY PRACT",ORCID:0000-0003-1627-5300,NO AFFILIATION,NO COUNTRY
"COVIN JG, 1990, J BUS VENTURING",ORCID:0000-0003-1627-5300,NO AFFILIATION,NO COUNTRY
